specialty	institution	city	state
Anesthesiology	Cleveland Clinic	Cleveland	OH
Anesthesiology	Cleveland Clinic	Cleveland	OH
Anesthesiology	Harbor-UCLA Medical Center	Torrance	CA
Anesthesiology	University of Michigan Medical Center	Ann Arbor	MI
Anesthesiology	Cedars-Sinai Medical Center	Los Angeles	CA
Anesthesiology/Research	Johns Hopkins Hospital	Baltimore	MD
Anesthesiology	Brown University/Rhode Island Hospital	Providence	RI
Anesthesiology/Internal Medicine	University of Utah Health	Salt Lake City	UT
Anesthesiology	Baylor College of Medicine	Houston	TX
Child Neurology	Children's Hospital of Philadelphia	Philadelphia	PA
Dermatology	University of Michigan Medical Center	Ann Arbor	MI
Dermatology	Cleveland Clinic	Cleveland	OH
Dermatology	University of Michigan Medical Center	Ann Arbor	MI
Dermatology	Barnes Jewish Hospital	St. Louis	MO
Dermatology	Emory University School of Medicine	Atlanta	GA
Dermatology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Dermatology	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Dermatology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Dermatology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Emergency Medicine	University of Cincinnati Medical Center	Cincinnati	OH
Emergency Medicine	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Emergency Medicine	Boston University Medical Center	Boston	MA
Emergency Medicine	Northwestern McGaw/NMH/VA	Chicago	IL
Emergency Medicine	Temple University Hospital	Philadelphia	PA
Emergency Medicine	Hospital of the University of Pennsylvania	Philadelphia	PA
Emergency Medicine	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Emergency Medicine	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Emergency Medicine	University of Cincinnati Medical Center	Cincinnati	OH
Emergency Medicine	Northwestern McGaw/NMH/VA	Chicago	IL
Emergency Medicine	MGB-Massachusetts General Brigham	Boston	MA
Emergency Medicine	Denver Health Medical Center	Denver	CO
Emergency Medicine	Akron General Medical Center	Akron	OH
Family Medicine	Wright State University Boonshoft School of Medicine	Dayton	OH
Family Medicine	ProHealth Waukesha Memorial Hosptial	Waukesha	WI
Family Medicine	Swedish Medical Center	Seattle	WA
Family Medicine	Wake Forest Baptist Medical Center	Winston-Salem	NC
Family Medicine	OhioHealth Grant Medical Center	Columbus	OH
Family Medicine	University of Wisconsin School of Medicine and Public Health	Madison	WI
Family Medicine	Kaiser-Permanente-Los Angeles	Los Angeles	CA
Family Medicine	University of Maryland Medical Center	Baltimore	MD
General Surgery	UC San Francisco	San Francisco	CA
General Surgery	Sinai Hospital of Baltimore	Baltimore	MD
General Surgery/Research	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
General Surgery	University of Toledo	Toledo	OH
General Surgery	MGB-Brigham & Women's Hospital	Boston	MA
